,threshold,precision,recall,FScore
0,-14.780226299999999,0.18,0.85,0.21
1,-14.6802263,0.27,0.77,0.31
2,-14.5802263,0.34,0.76,0.39
3,-14.4802263,0.38,0.72,0.42
4,-14.3802263,0.43,0.7,0.46
5,-14.2802263,0.45,0.68,0.48
6,-14.180226300000001,0.5,0.67,0.53
7,-14.080226300000001,0.53,0.63,0.55
8,-13.980226300000002,0.55,0.59,0.56
9,-13.880226300000002,0.55,0.55,0.55
10,-13.780226300000002,0.58,0.48,0.56
11,-13.680226300000003,0.58,0.42,0.54
12,-13.580226300000003,0.54,0.35,0.49
13,-13.480226300000004,0.5,0.3,0.44
14,-13.380226300000004,0.5,0.22,0.4
15,-13.280226300000004,0.5,0.21,0.39
16,-13.180226300000005,0.47,0.16,0.34
17,-13.080226300000005,0.45,0.15,0.33
18,-12.980226300000005,0.47,0.15,0.33
19,-12.880226300000006,0.5,0.14,0.33
20,-12.780226300000006,0.52,0.12,0.32
21,-12.680226300000006,0.5,0.1,0.28
22,-12.580226300000007,0.53,0.1,0.29
23,-12.480226300000007,0.53,0.09,0.27
24,-12.380226300000007,0.5,0.08,0.25
25,-12.280226300000008,0.5,0.08,0.25
26,-12.180226300000008,0.54,0.07,0.23
27,-12.080226300000009,0.54,0.07,0.23
28,-11.980226300000009,0.55,0.06,0.21
29,-11.88022630000001,0.55,0.06,0.21
30,-11.78022630000001,0.56,0.05,0.19
31,-11.68022630000001,0.56,0.05,0.19
32,-11.58022630000001,0.62,0.05,0.19
33,-11.48022630000001,0.62,0.05,0.19
34,-11.380226300000011,0.62,0.05,0.19
35,-11.280226300000011,0.62,0.05,0.19
36,-11.180226300000012,0.57,0.04,0.16
37,-11.080226300000012,0.57,0.04,0.16
38,-10.980226300000012,0.57,0.04,0.16
39,-10.880226300000013,0.57,0.04,0.16
40,-10.780226300000013,0.57,0.04,0.16
41,-10.680226300000013,0.57,0.04,0.16
42,-10.580226300000014,0.57,0.04,0.16
43,-10.480226300000014,0.57,0.04,0.16
44,-10.380226300000015,0.57,0.04,0.16
45,-10.280226300000015,0.57,0.04,0.16
46,-10.180226300000015,0.57,0.04,0.16
47,-10.080226300000016,0.57,0.04,0.16
48,-9.980226300000016,0.5,0.03,0.12
49,-9.880226300000016,0.5,0.03,0.12
50,-9.780226300000017,0.5,0.03,0.12
51,-9.680226300000017,0.5,0.03,0.12
52,-9.580226300000017,0.5,0.03,0.12
53,-9.480226300000018,0.5,0.03,0.12
54,-9.380226300000018,0.5,0.03,0.12
55,-9.280226300000018,0.5,0.03,0.12
56,-9.180226300000019,0.6,0.03,0.13
57,-9.08022630000002,0.6,0.03,0.13
58,-8.98022630000002,0.6,0.03,0.13
59,-8.88022630000002,0.6,0.03,0.13
60,-8.78022630000002,0.6,0.03,0.13
61,-8.68022630000002,0.6,0.03,0.13
62,-8.580226300000021,0.6,0.03,0.13
63,-8.480226300000021,0.6,0.03,0.13
64,-8.380226300000022,0.6,0.03,0.13
65,-8.280226300000022,0.6,0.03,0.13
66,-8.180226300000022,0.75,0.03,0.13
67,-8.080226300000023,0.75,0.03,0.13
68,-7.980226300000023,0.75,0.03,0.13
69,-7.880226300000023,0.75,0.03,0.13
70,-7.780226300000024,1.0,0.03,0.14
71,-7.680226300000024,1.0,0.03,0.14
72,-7.5802263000000245,1.0,0.03,0.14
73,-7.480226300000025,1.0,0.02,0.1
74,-7.380226300000025,1.0,0.02,0.1
75,-7.280226300000026,1.0,0.02,0.1
76,-7.180226300000026,1.0,0.02,0.1
77,-7.080226300000026,1.0,0.02,0.1
78,-6.980226300000027,1.0,0.02,0.1
79,-6.880226300000027,1.0,0.02,0.1
80,-6.780226300000027,1.0,0.02,0.1
81,-6.680226300000028,1.0,0.02,0.1
82,-6.580226300000028,1.0,0.02,0.1
83,-6.480226300000028,1.0,0.02,0.1
84,-6.380226300000029,1.0,0.01,0.05
85,-6.280226300000029,1.0,0.01,0.05
86,-6.1802263000000295,1.0,0.01,0.05
87,-6.08022630000003,1.0,0.01,0.05
88,-5.98022630000003,1.0,0.01,0.05
89,-5.8802263000000305,1.0,0.01,0.05
90,-5.780226300000031,1.0,0.01,0.05
91,-5.680226300000031,1.0,0.01,0.05
92,-5.580226300000032,1.0,0.01,0.05
93,-5.480226300000032,1.0,0.01,0.05
94,-5.380226300000032,1.0,0.01,0.05
95,-5.280226300000033,1.0,0.01,0.05
96,-5.180226300000033,1.0,0.01,0.05
97,-5.080226300000033,1.0,0.01,0.05
98,-4.980226300000034,1.0,0.01,0.05
